Symbol,Trade Date,NOCP
ABBV,6/30/2022,153.16
ABBV,7/1/2022,153.8
ABBV,7/5/2022,153.93
ABBV,7/6/2022,152.53
ABBV,7/7/2022,152
ABBV,7/8/2022,152.85
ABBV,7/11/2022,153.23
ABBV,7/12/2022,152.46
ABBV,7/13/2022,152.15
ABBV,7/14/2022,150.44
ABBV,7/15/2022,153.62
ABBV,7/18/2022,149.57
ABBV,7/19/2022,149.74
ABBV,7/20/2022,147.69
ABBV,7/21/2022,147.75
ABBV,7/22/2022,148.47
ABBV,7/25/2022,150.22
ABBV,7/26/2022,150.87
ABBV,7/27/2022,151.15
ABBV,7/28/2022,149.75
ABBV,7/29/2022,143.51
ABBV,8/1/2022,140.22
ABBV,8/2/2022,140.39
ABBV,8/3/2022,141.2
ABBV,8/4/2022,138.92
ABBV,8/5/2022,138.04
ABBV,8/8/2022,140.34
ABBV,8/9/2022,140.25
ABBV,8/10/2022,140.94
ABBV,8/11/2022,142.08
ABBV,8/12/2022,142.6
ABBV,8/15/2022,142.29
ABBV,8/16/2022,142.55
ABBV,8/17/2022,141.44
ABBV,8/18/2022,141.29
ABBV,8/19/2022,141.85
ABBV,8/22/2022,140.34
ABBV,8/23/2022,139.02
ABBV,8/24/2022,137.91
ABBV,8/25/2022,139.33
ABBV,8/26/2022,136.35
ABBV,8/29/2022,135.71
ABBV,8/30/2022,135.55
ABBV,8/31/2022,134.46
ABBV,9/1/2022,138.45
ABBV,9/2/2022,136.28
ABBV,9/6/2022,137.59
ABBV,9/7/2022,138.71
ABBV,9/8/2022,140.52
ABBV,9/9/2022,141.42
ABBV,9/12/2022,142.24
ABBV,9/13/2022,138.53
ABBV,9/14/2022,139.55
ABBV,9/15/2022,142.51
ABBV,9/16/2022,144.06
ABBV,9/19/2022,142.66
ABBV,9/20/2022,141.77
ABBV,9/21/2022,140.31
ABBV,9/22/2022,143.01
ABBV,9/23/2022,143.06
ABBV,9/26/2022,141.21
ABBV,9/27/2022,141.72
ABBV,9/28/2022,144.6
ABBV,9/29/2022,142.72
ABBV,9/30/2022,134.21
ABBV,10/3/2022,138.32
ABBV,10/4/2022,141.99
ABBV,10/5/2022,143.33
ABBV,10/6/2022,140.29
ABBV,10/7/2022,138.76
ABBV,10/10/2022,138.31
ABBV,10/11/2022,141.51
ABBV,10/12/2022,139.98
ABBV,10/13/2022,142.92
ABBV,10/14/2022,142.94
ABBV,10/17/2022,144.41
ABBV,10/18/2022,144.6
ABBV,10/19/2022,143.13
ABBV,10/20/2022,142.93
ABBV,10/21/2022,147.06
ABBV,10/24/2022,150.89
ABBV,10/25/2022,149.82
ABBV,10/26/2022,152.51
ABBV,10/27/2022,153.5
ABBV,10/28/2022,147.61
ABBV,10/31/2022,146.4
ABBV,11/1/2022,146.91
ABBV,11/2/2022,144.52
ABBV,11/3/2022,144.42
ABBV,11/4/2022,145.28
ABBV,11/7/2022,148.1
ABBV,11/8/2022,148.53
ABBV,11/9/2022,147.62
ABBV,11/10/2022,149.72
ABBV,11/11/2022,150.16
ABBV,11/14/2022,151.74
ABBV,11/15/2022,153.04
ABBV,11/16/2022,151.87
ABBV,11/17/2022,152.16
ABBV,11/18/2022,154.98
ABBV,11/21/2022,157.11
ABBV,11/22/2022,159.79
ABBV,11/23/2022,159.39
ABBV,11/25/2022 13:00:00,159.62
ABBV,11/28/2022,158.43
ABBV,11/29/2022,158.2
ABBV,11/30/2022,161.18
ABBV,12/1/2022,161.63
ABBV,12/2/2022,163.66
ABBV,12/5/2022,163.94
ABBV,12/6/2022,163.72
ABBV,12/7/2022,165.4
ABBV,12/8/2022,165.99
ABBV,12/9/2022,163.06
ABBV,12/12/2022,165.32
ABBV,12/13/2022,164.79
ABBV,12/14/2022,164.86
ABBV,12/15/2022,163.1
ABBV,12/16/2022,160.48
ABBV,12/19/2022,161.49
ABBV,12/20/2022,160.58
ABBV,12/21/2022,162.21
ABBV,12/22/2022,163.27
ABBV,12/23/2022,163.1
ABBV,12/27/2022,162.99
ABBV,12/28/2022,162.23
ABBV,12/29/2022,162.56
ABBV,12/30/2022,161.61
ABBV,1/3/2023,162.38
ABBV,1/4/2023,163.69
ABBV,1/5/2023,163.49
ABBV,1/6/2023,166.55
ABBV,1/9/2023,161.66
ABBV,1/10/2023,159.64
ABBV,1/11/2023,157.17
ABBV,1/12/2023,152.22
ABBV,1/13/2023,153.6
ABBV,1/17/2023,152.83
ABBV,1/18/2023,149.2
ABBV,1/19/2023,148.71
ABBV,1/20/2023,149.59
ABBV,1/23/2023,148.55
ABBV,1/24/2023,147.69
ABBV,1/25/2023,147.79
ABBV,1/26/2023,147.4
ABBV,1/27/2023,146.28
ABBV,1/30/2023,145.65
ABBV,1/31/2023,147.75
ABBV,2/1/2023,146.6
ABBV,2/2/2023,144.84
ABBV,2/3/2023,145.2
ABBV,2/6/2023,145.02
ABBV,2/7/2023,145.14
ABBV,2/8/2023,144.61
ABBV,2/9/2023,148.7
ABBV,2/10/2023,152.05
ABBV,2/13/2023,153.73
ABBV,2/14/2023,152.59
ABBV,2/15/2023,151.06
ABBV,2/16/2023,149.53
ABBV,2/17/2023,151.31
ABBV,2/21/2023,152
ABBV,2/22/2023,150.67
ABBV,2/23/2023,152.07
ABBV,2/24/2023,152.71
ABBV,2/27/2023,154.28
ABBV,2/28/2023,153.9
ABBV,3/1/2023,155.27
ABBV,3/2/2023,154.38
ABBV,3/3/2023,156.06
ABBV,3/6/2023,155.28
ABBV,3/7/2023,152.93
ABBV,3/8/2023,149.6
ABBV,3/9/2023,147.35
ABBV,3/10/2023,149.71
ABBV,3/13/2023,151.95
ABBV,3/14/2023,153.85
ABBV,3/15/2023,154.06
ABBV,3/16/2023,155.3
ABBV,3/17/2023,154.22
ABBV,3/20/2023,156.12
ABBV,3/21/2023,156.77
ABBV,3/22/2023,153.67
ABBV,3/23/2023,155.3
