Symbol,Trade Date,NOCP
ABT,6/30/2017,48.61
ABT,7/3/2017,48.71
ABT,7/5/2017,49.00
ABT,7/6/2017,47.94
ABT,7/7/2017,48.44
ABT,7/10/2017,48.23
ABT,7/11/2017,48.15
ABT,7/12/2017,48.43
ABT,7/13/2017,48.08
ABT,7/14/2017,48.91
ABT,7/17/2017,48.76
ABT,7/18/2017,48.74
ABT,7/19/2017,49.43
ABT,7/20/2017,50.85
ABT,7/21/2017,50.84
ABT,7/24/2017,50.80
ABT,7/25/2017,50.83
ABT,7/26/2017,50.40
ABT,7/27/2017,50.11
ABT,7/28/2017,49.61
ABT,7/31/2017,49.18
ABT,8/1/2017,49.15
ABT,8/2/2017,49.23
ABT,8/3/2017,49.16
ABT,8/4/2017,49.26
ABT,8/7/2017,49.30
ABT,8/8/2017,48.88
ABT,8/9/2017,48.77
ABT,8/10/2017,48.06
ABT,8/11/2017,48.54
ABT,8/14/2017,49.08
ABT,8/15/2017,48.82
ABT,8/16/2017,49.81
ABT,8/17/2017,49.29
ABT,8/18/2017,48.74
ABT,8/21/2017,48.88
ABT,8/22/2017,49.71
ABT,8/23/2017,49.64
ABT,8/24/2017,49.38
ABT,8/25/2017,49.35
ABT,8/28/2017,50.26
ABT,8/29/2017,50.15
ABT,8/30/2017,50.11
ABT,8/31/2017,50.94
ABT,9/1/2017,51.18
ABT,9/5/2017,51.03
ABT,9/6/2017,51.19
ABT,9/7/2017,51.49
ABT,9/8/2017,52.02
ABT,9/11/2017,52.45
ABT,9/12/2017,52.25
ABT,9/13/2017,52.00
ABT,9/14/2017,51.69
ABT,9/15/2017,51.76
ABT,9/18/2017,52.08
ABT,9/19/2017,51.41
ABT,9/20/2017,51.89
ABT,9/21/2017,51.43
ABT,9/22/2017,52.51
ABT,9/25/2017,52.61
ABT,9/26/2017,52.85
ABT,9/27/2017,52.15
ABT,9/28/2017,53.64
ABT,9/29/2017,53.36
ABT,10/2/2017,53.68
ABT,10/3/2017,53.75
ABT,10/4/2017,54.34
ABT,10/5/2017,54.92
ABT,10/6/2017,55.00
ABT,10/9/2017,54.66
ABT,10/10/2017,55.40
ABT,10/11/2017,54.44
ABT,10/12/2017,54.71
ABT,10/13/2017,54.65
ABT,10/16/2017,54.63
ABT,10/17/2017,55.06
ABT,10/18/2017,55.77
ABT,10/19/2017,56.00
ABT,10/20/2017,56.32
ABT,10/23/2017,56.08
ABT,10/24/2017,55.38
ABT,10/25/2017,55.49
ABT,10/26/2017,55.48
ABT,10/27/2017,55.37
ABT,10/30/2017,54.29
ABT,10/31/2017,54.23
ABT,11/1/2017,54.00
ABT,11/2/2017,54.37
ABT,11/3/2017,55.47
ABT,11/6/2017,55.01
ABT,11/7/2017,55.16
ABT,11/8/2017,55.25
ABT,11/9/2017,55.45
ABT,11/10/2017,54.80
ABT,11/13/2017,55.30
ABT,11/14/2017,55.01
ABT,11/15/2017,54.83
ABT,11/16/2017,55.54
ABT,11/17/2017,55.56
ABT,11/20/2017,55.29
ABT,11/21/2017,56.12
ABT,11/22/2017,55.80
ABT,11/24/2017,56.13
ABT,11/27/2017,56.15
ABT,11/28/2017,56.02
ABT,11/29/2017,55.58
ABT,11/30/2017,56.37
ABT,12/1/2017,55.98
ABT,12/4/2017,54.71
ABT,12/5/2017,54.79
ABT,12/6/2017,54.66
ABT,12/7/2017,54.69
ABT,12/8/2017,54.64
ABT,12/11/2017,54.94
ABT,12/12/2017,55.70
ABT,12/13/2017,55.06
ABT,12/14/2017,54.73
ABT,12/15/2017,55.50
ABT,12/18/2017,56.40
ABT,12/19/2017,56.80
ABT,12/20/2017,57.02
ABT,12/21/2017,56.93
ABT,12/22/2017,56.93
ABT,12/26/2017,57.00
ABT,12/27/2017,57.47
ABT,12/28/2017,57.46
ABT,12/29/2017,57.07
ABT,1/2/2018,58.79
ABT,1/3/2018,58.92
ABT,1/4/2018,58.82
ABT,1/5/2018,58.99
ABT,1/8/2018,58.82
ABT,1/9/2018,58.92
ABT,1/10/2018,58.83
ABT,1/11/2018,58.95
ABT,1/12/2018,58.84
ABT,1/16/2018,58.44
ABT,1/17/2018,58.99
ABT,1/18/2018,59.07
ABT,1/19/2018,59.31
ABT,1/22/2018,59.57
ABT,1/23/2018,59.23
ABT,1/24/2018,61.72
ABT,1/25/2018,63.22
ABT,1/26/2018,63.42
ABT,1/29/2018,63.31
ABT,1/30/2018,62.44
ABT,1/31/2018,62.16
ABT,2/1/2018,62.18
ABT,2/2/2018,61.69
ABT,2/5/2018,58.73
ABT,2/6/2018,58.86
ABT,2/7/2018,58.67
ABT,2/8/2018,56.27
ABT,2/9/2018,57.17
ABT,2/12/2018,57.41
ABT,2/13/2018,57.64
ABT,2/14/2018,58.28
ABT,2/15/2018,59.50
ABT,2/16/2018,60.17
ABT,2/20/2018,59.12
ABT,2/21/2018,58.99
ABT,2/22/2018,58.99
ABT,2/23/2018,59.71
ABT,2/26/2018,60.53
ABT,2/27/2018,60.55
ABT,2/28/2018,60.33
ABT,3/1/2018,58.79
ABT,3/2/2018,59.46
ABT,3/5/2018,60.37
ABT,3/6/2018,60.88
ABT,3/7/2018,61.29
ABT,3/8/2018,61.87
ABT,3/9/2018,63.60
ABT,3/12/2018,63.62
ABT,3/13/2018,63.20
ABT,3/14/2018,62.86
ABT,3/15/2018,62.59
ABT,3/16/2018,63.18
ABT,3/19/2018,62.26
ABT,3/20/2018,62.65
ABT,3/21/2018,62.42
ABT,3/22/2018,60.93
ABT,3/23/2018,59.50
ABT,3/26/2018,61.07
ABT,3/27/2018,60.28
ABT,3/28/2018,59.23
ABT,3/29/2018,59.92
ABT,4/2/2018,58.21
ABT,4/3/2018,59.00
ABT,4/4/2018,59.46
ABT,4/5/2018,59.86
ABT,4/6/2018,57.57
ABT,4/9/2018,58.22
ABT,4/10/2018,59.14
ABT,4/11/2018,58.45
ABT,4/12/2018,58.83
ABT,4/13/2018,58.49
ABT,4/16/2018,59.27
ABT,4/17/2018,59.80
ABT,4/18/2018,59.52
ABT,4/19/2018,59.88
ABT,4/20/2018,59.19
ABT,4/23/2018,58.84
ABT,4/24/2018,58.31
ABT,4/25/2018,58.65
ABT,4/26/2018,59.50
ABT,4/27/2018,59.56
ABT,4/30/2018,58.13
ABT,5/1/2018,58.82
ABT,5/2/2018,57.85
ABT,5/3/2018,57.93
ABT,5/4/2018,58.74
ABT,5/7/2018,59.32
ABT,5/8/2018,58.71
ABT,5/9/2018,59.40
ABT,5/10/2018,60.56
ABT,5/11/2018,61.26
ABT,5/14/2018,62.02
ABT,5/15/2018,60.54
ABT,5/16/2018,60.77
ABT,5/17/2018,61.06
ABT,5/18/2018,61.71
ABT,5/21/2018,62.11
ABT,5/22/2018,61.39
ABT,5/23/2018,61.84
ABT,5/24/2018,62.51
ABT,5/25/2018,62.37
ABT,5/29/2018,61.30
ABT,5/30/2018,62.07
ABT,5/31/2018,61.53
ABT,6/1/2018,62.41
ABT,6/4/2018,63.02
ABT,6/5/2018,63.03
ABT,6/6/2018,63.54
ABT,6/7/2018,63.18
ABT,6/8/2018,63.27
ABT,6/11/2018,63.13
ABT,6/12/2018,62.92
ABT,6/13/2018,62.63
ABT,6/14/2018,62.96
ABT,6/15/2018,62.91
ABT,6/18/2018,62.82
ABT,6/19/2018,62.34
ABT,6/20/2018,62.14
ABT,6/21/2018,61.75
ABT,6/22/2018,61.94
ABT,6/25/2018,60.77
ABT,6/26/2018,60.81
ABT,6/27/2018,60.49
ABT,6/28/2018,61.27
ABT,6/29/2018,60.99
ABT,7/2/2018,61.00
ABT,7/3/2018,60.81
ABT,7/5/2018,61.33
ABT,7/6/2018,62.16
ABT,7/9/2018,62.44
ABT,7/10/2018,62.81
ABT,7/11/2018,62.57
ABT,7/12/2018,62.74
ABT,7/13/2018,63.06
ABT,7/16/2018,61.78
ABT,7/17/2018,62.80
ABT,7/18/2018,64.75
ABT,7/19/2018,63.78
ABT,7/20/2018,63.32
ABT,7/23/2018,63.20
ABT,7/24/2018,64.40
ABT,7/25/2018,65.23
ABT,7/26/2018,65.66
ABT,7/27/2018,65.26
ABT,7/30/2018,65.17
ABT,7/31/2018,65.54
ABT,8/1/2018,64.78
ABT,8/2/2018,64.58
ABT,8/3/2018,65.23
ABT,8/6/2018,65.24
ABT,8/7/2018,64.74
ABT,8/8/2018,64.84
ABT,8/9/2018,64.64
ABT,8/10/2018,64.03
ABT,8/13/2018,63.43
ABT,8/14/2018,63.63
ABT,8/15/2018,63.47
ABT,8/16/2018,64.16
ABT,8/17/2018,64.72
ABT,8/20/2018,64.64
ABT,8/21/2018,64.75
ABT,8/22/2018,65.67
ABT,8/23/2018,65.83
ABT,8/24/2018,66.10
ABT,8/27/2018,66.84
ABT,8/28/2018,66.79
ABT,8/29/2018,67.13
ABT,8/30/2018,67.02
ABT,8/31/2018,66.84
ABT,9/4/2018,67.11
ABT,9/5/2018,66.00
ABT,9/6/2018,65.83
ABT,9/7/2018,66.21
ABT,9/10/2018,66.55
ABT,9/11/2018,66.60
ABT,9/12/2018,66.97
ABT,9/13/2018,68.50
ABT,9/14/2018,68.42
ABT,9/17/2018,67.67
ABT,9/18/2018,68.41
ABT,9/19/2018,68.50
ABT,9/20/2018,68.79
ABT,9/21/2018,69.05
ABT,9/24/2018,71.44
ABT,9/25/2018,72.20
ABT,9/26/2018,72.84
ABT,9/27/2018,73.02
ABT,9/28/2018,73.36
ABT,10/1/2018,74.12
ABT,10/2/2018,73.81
ABT,10/3/2018,72.04
ABT,10/4/2018,71.82
ABT,10/5/2018,71.58
ABT,10/8/2018,71.44
ABT,10/9/2018,71.29
ABT,10/10/2018,68.92
ABT,10/11/2018,68.38
ABT,10/12/2018,69.33
ABT,10/15/2018,68.70
ABT,10/16/2018,70.95
ABT,10/17/2018,70.23
ABT,10/18/2018,68.14
ABT,10/19/2018,67.59
ABT,10/22/2018,68.52
ABT,10/23/2018,68.57
ABT,10/24/2018,66.94
ABT,10/25/2018,67.67
ABT,10/26/2018,66.99
ABT,10/29/2018,67.31
ABT,10/30/2018,68.00
ABT,10/31/2018,68.94
ABT,11/1/2018,70.15
ABT,11/2/2018,70.19
ABT,11/5/2018,70.39
ABT,11/6/2018,70.96
ABT,11/7/2018,72.50
ABT,11/8/2018,72.96
ABT,11/9/2018,72.79
ABT,11/12/2018,70.56
ABT,11/13/2018,69.49
ABT,11/14/2018,69.41
ABT,11/15/2018,70.73
ABT,11/16/2018,72.04
ABT,11/19/2018,70.54
ABT,11/20/2018,69.06
ABT,11/21/2018,68.53
ABT,11/23/2018,68.11
ABT,11/26/2018,68.81
ABT,11/27/2018,69.71
ABT,11/28/2018,72.83
ABT,11/29/2018,73.26
ABT,11/30/2018,74.05
ABT,12/3/2018,74.27
ABT,12/4/2018,71.50
ABT,12/6/2018,71.54
ABT,12/7/2018,69.95
ABT,12/10/2018,70.92
ABT,12/11/2018,71.84
ABT,12/12/2018,72.53
ABT,12/13/2018,72.18
ABT,12/14/2018,70.76
ABT,12/17/2018,69.75
ABT,12/18/2018,70.08
ABT,12/19/2018,69.00
ABT,12/20/2018,68.38
ABT,12/21/2018,67.27
ABT,12/24/2018,65.56
ABT,12/26/2018,69.62
ABT,12/27/2018,70.63
ABT,12/28/2018,71.09
