Symbol,Trade Date,NOCP
PFE,6/30/2022,52.43
PFE,7/1/2022,52.31
PFE,7/5/2022,51.64
PFE,7/6/2022,52.75
PFE,7/7/2022,53.42
PFE,7/8/2022,53.17
PFE,7/11/2022,52.89
PFE,7/12/2022,52.04
PFE,7/13/2022,51.79
PFE,7/14/2022,51.39
PFE,7/15/2022,51.75
PFE,7/18/2022,50.75
PFE,7/19/2022,51.37
PFE,7/20/2022,50.82
PFE,7/21/2022,51.12
PFE,7/22/2022,51.23
PFE,7/25/2022,51.77
PFE,7/26/2022,52.3
PFE,7/27/2022,51.95
PFE,7/28/2022,50.72
PFE,7/29/2022,50.51
PFE,8/1/2022,50.61
PFE,8/2/2022,49.69
PFE,8/3/2022,49.86
PFE,8/4/2022,49.86
PFE,8/5/2022,49.27
PFE,8/8/2022,49.57
PFE,8/9/2022,49.78
PFE,8/10/2022,49.95
PFE,8/11/2022,48.29
PFE,8/12/2022,50.11
PFE,8/15/2022,49.75
PFE,8/16/2022,49.86
PFE,8/17/2022,49.27
PFE,8/18/2022,48.58
PFE,8/19/2022,49.15
PFE,8/22/2022,48.9
PFE,8/23/2022,48.01
PFE,8/24/2022,47.43
PFE,8/25/2022,47.9
PFE,8/26/2022,46.82
PFE,8/29/2022,46.23
PFE,8/30/2022,45.85
PFE,8/31/2022,45.23
PFE,9/1/2022,46.63
PFE,9/2/2022,45.7
PFE,9/6/2022,45.76
PFE,9/7/2022,46.13
PFE,9/8/2022,47.08
PFE,9/9/2022,47.84
PFE,9/12/2022,47.76
PFE,9/13/2022,46.19
PFE,9/14/2022,46.15
PFE,9/15/2022,45.94
PFE,9/16/2022,46.03
PFE,9/19/2022,45.44
PFE,9/20/2022,44.77
PFE,9/21/2022,43.92
PFE,9/22/2022,44.57
PFE,9/23/2022,44.08
PFE,9/26/2022,43.83
PFE,9/27/2022,44.09
PFE,9/28/2022,44.43
PFE,9/29/2022,44.16
PFE,9/30/2022,43.76
PFE,10/3/2022,44.14
PFE,10/4/2022,44.46
PFE,10/5/2022,44.12
PFE,10/6/2022,43.09
PFE,10/7/2022,42.32
PFE,10/10/2022,41.75
PFE,10/11/2022,41.92
PFE,10/12/2022,42.03
PFE,10/13/2022,42.98
PFE,10/14/2022,42.86
PFE,10/17/2022,43.65
PFE,10/18/2022,44.09
PFE,10/19/2022,43.11
PFE,10/20/2022,42.91
PFE,10/21/2022,44.95
PFE,10/24/2022,45.54
PFE,10/25/2022,45.59
PFE,10/26/2022,46.06
PFE,10/27/2022,45.74
PFE,10/28/2022,47.43
PFE,10/31/2022,46.55
PFE,11/1/2022,48.01
PFE,11/2/2022,47.07
PFE,11/3/2022,46.57
PFE,11/4/2022,47.22
PFE,11/7/2022,47.09
PFE,11/8/2022,47.35
PFE,11/9/2022,46.72
PFE,11/10/2022,47.38
PFE,11/11/2022,47.6
PFE,11/14/2022,49.24
PFE,11/15/2022,48.57
PFE,11/16/2022,48.05
PFE,11/17/2022,48.33
PFE,11/18/2022,48.23
PFE,11/21/2022,48.18
PFE,11/22/2022,49.08
PFE,11/23/2022,48.85
PFE,11/25/2022 13:00:00,49.21
PFE,11/28/2022,49.57
PFE,11/29/2022,49.49
PFE,11/30/2022,50.13
PFE,12/1/2022,51.08
PFE,12/2/2022,50.91
PFE,12/5/2022,50.73
PFE,12/6/2022,49.71
PFE,12/7/2022,50.24
PFE,12/8/2022,51.78
PFE,12/9/2022,51.72
PFE,12/12/2022,52.16
PFE,12/13/2022,53.07
PFE,12/14/2022,54.48
PFE,12/15/2022,53.61
PFE,12/16/2022,51.4
PFE,12/19/2022,51.36
PFE,12/20/2022,51.32
PFE,12/21/2022,51.66
PFE,12/22/2022,51.64
PFE,12/23/2022,51.83
PFE,12/27/2022,51.13
PFE,12/28/2022,50.8
PFE,12/29/2022,51.33
PFE,12/30/2022,51.24
PFE,1/3/2023,51.26
PFE,1/4/2023,50.13
PFE,1/5/2023,49.66
PFE,1/6/2023,50.92
PFE,1/9/2023,48.39
PFE,1/10/2023,47.62
PFE,1/11/2023,47.45
PFE,1/12/2023,47.71
PFE,1/13/2023,47.85
PFE,1/17/2023,46.08
PFE,1/18/2023,45
PFE,1/19/2023,44.96
PFE,1/20/2023,45.11
PFE,1/23/2023,44.98
PFE,1/24/2023,44.71
PFE,1/25/2023,45.07
PFE,1/26/2023,44.25
PFE,1/27/2023,43.79
PFE,1/30/2023,43.55
PFE,1/31/2023,44.16
PFE,2/1/2023,43.97
PFE,2/2/2023,44.34
PFE,2/3/2023,44.06
PFE,2/6/2023,43.76
PFE,2/7/2023,43.59
PFE,2/8/2023,43.98
PFE,2/9/2023,43.34
PFE,2/10/2023,43.88
PFE,2/13/2023,43.99
PFE,2/14/2023,43.72
PFE,2/15/2023,43.32
PFE,2/16/2023,42.95
PFE,2/17/2023,43.21
PFE,2/21/2023,42.7
PFE,2/22/2023,42.38
PFE,2/23/2023,42.3
PFE,2/24/2023,41.75
PFE,2/27/2023,40.78
PFE,2/28/2023,40.57
PFE,3/1/2023,40.18
PFE,3/2/2023,40.62
PFE,3/3/2023,41.15
PFE,3/6/2023,41.11
PFE,3/7/2023,40.34
PFE,3/8/2023,40.12
PFE,3/9/2023,39.46
PFE,3/10/2023,39.39
PFE,3/13/2023,39.86
PFE,3/14/2023,39.9
PFE,3/15/2023,40.28
PFE,3/16/2023,40.37
PFE,3/17/2023,40.1
PFE,3/20/2023,40.81
PFE,3/21/2023,40.66
PFE,3/22/2023,40.01
PFE,3/23/2023,40.18
PFE,3/24/2023,40.39
PFE,3/27/2023,40.22
PFE,3/28/2023,39.99
PFE,3/29/2023,40.25
PFE,3/30/2023,40.38
PFE,3/31/2023,40.8
PFE,4/3/2023,41.35
PFE,4/4/2023,40.9
PFE,4/5/2023,41.55
PFE,4/6/2023,41.5
PFE,4/10/2023,41.73
PFE,4/11/2023,41.79
PFE,4/12/2023,41.37
PFE,4/13/2023,41.47
PFE,4/14/2023,41.19
PFE,4/17/2023,41.18
PFE,4/18/2023,40.55
PFE,4/19/2023,40.24
PFE,4/20/2023,39.85
PFE,4/21/2023,40.21
PFE,4/24/2023,39.91
PFE,4/25/2023,39.33
PFE,4/26/2023,38.63
PFE,4/27/2023,38.74
PFE,4/28/2023,38.89
PFE,5/1/2023,39.21
PFE,5/2/2023,39.06
PFE,5/3/2023,38.45
PFE,5/4/2023,38.23
PFE,5/5/2023,38.49
PFE,5/8/2023,38.67
PFE,5/9/2023,38.48
PFE,5/10/2023,38.3
PFE,5/11/2023,37.58
PFE,5/12/2023,37.35
PFE,5/15/2023,37.16
PFE,5/16/2023,37.01
PFE,5/17/2023,36.75
PFE,5/18/2023,36.48
PFE,5/19/2023,36.77
PFE,5/22/2023,38.75
PFE,5/23/2023,39.64
PFE,5/24/2023,38.63
PFE,5/25/2023,37.83
PFE,5/26/2023,37.6
PFE,5/30/2023,37.01
PFE,5/31/2023,38.02
PFE,6/1/2023,38.02
PFE,6/2/2023,38.36
PFE,6/5/2023,38.65
PFE,6/6/2023,38.37
PFE,6/7/2023,38.89
PFE,6/8/2023,39.09
PFE,6/9/2023,38.97
PFE,6/12/2023,39.9
PFE,6/13/2023,40.28
PFE,6/14/2023,39.36
PFE,6/15/2023,39.75
PFE,6/16/2023,40.06
PFE,6/20/2023,39.34
PFE,6/21/2023,38.9
PFE,6/22/2023,38.73
PFE,6/23/2023,38.3
PFE,6/26/2023,36.89
PFE,6/27/2023,36.42
PFE,6/28/2023,36.29
PFE,6/29/2023,36.12
